Артикул;Код сайта;Наименование;Цена опт;РРЦ;Материал;Наличие на складе;Остаток;Бренд;Страна производства;Страна ТМ;Категория;Категория 2;Размеры;Вид упаковки;Ссылка на фото;;Штрих-код;Вес;Серия;
002.022900.002;40713;Терка Legnoart, цвет Венге;4969;6776;Дерево, нержавеющая сталь;На складе;2;Legnoart;ИТАЛИЯ;Италия;Кухонные принадлежности;Терки;35 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/7547.jpg;Распродажа;8032732827039;0.63;Кухонные аксессуары;
002.022900.003;44443;Терка коническая Legnoart,  цвет Венге;1417;1932;Дерево, нержавеющая сталь;На складе;9;Legnoart;ИТАЛИЯ;Италия;Кухонные принадлежности;Терки;13 см*30 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/7548.jpg;;8032732820986;0.45;Кухонные аксессуары;
002.022900.004;44454;Терка 4-х сторонняя Legnoart, цвет венге;1772;2416;Дерево, нержавеющая сталь;На складе;2;Legnoart;ИТАЛИЯ;Италия;Кухонные принадлежности;Терки;16 см*12,5 см*27,5 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/7546.jpg;;8032732820979;0.64;Кухонные аксессуары;
002.022900.009;55385;Терка коническая Legnoart, цвет натуральный;1440;1964;Ясень, нержавеющая сталь;На складе;>20;Legnoart;ИТАЛИЯ;Италия;Кухонные принадлежности;Терки;30 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/13333.jpg;;8032732830039;0.00;Кухонные аксессуары;
002.022900.010;55386;Терка коническая Legnoart, цвет натуральный, малая;1168;1593;Ясень, нержавеющая сталь;На складе;11;Legnoart;ИТАЛИЯ;Италия;Кухонные принадлежности;Терки;24 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/13334.jpg;;8032732830046;0.00;Кухонные аксессуары;
002.023304.015;46302;Хлебница с доской Legnoart, светлое дерево;5495;7493;Дерево;На складе;5;Legnoart;ИТАЛИЯ;Италия;Кухонные принадлежности;Хлебницы;350х200х150мм;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/9969.jpg;;8032732821259;1.49;Кухонные аксессуары;
002.023304.016;46303;Хлебница с доской Legnoart, темное дерево;5486;7481;Дерево;На складе;9;Legnoart;ИТАЛИЯ;Италия;Кухонные принадлежности;Хлебницы;350х200х150мм;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/9970.jpg;;8032732821266;1.40;Кухонные аксессуары;
002.023304.017;56138;Хлебница Legnoart с крышкой/доской для нарезки хлеба, серия CRISPY, ясень;3545;4834;Ясень;Ожидается;Ожидается;Legnoart;ИТАЛИЯ;Италия;Кухонные принадлежности;Хлебницы;350х200х145мм;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14059.jpg;;8032732822188;0.00;Кухонные аксессуары;
002.040100.016;56141;Набор из 4-х ножей для стейка Legnoart, серия FASSONA;3545;4834;Нержавеющая сталь, дерево;Ожидается;Ожидается;Legnoart;КИТАЙ;Италия;Кухонные принадлежности;Ножи;260х150х35мм;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14056.jpg;;8032732822232;0.00;Ножи;
002.040701.023;44431;Разделочная доска Legnoart, цвет венге;2340;3191;Дерево;На складе;2;Legnoart;ИТАЛИЯ;Италия;Кухонные принадлежности;Доски разделочные;370*280*22 мм;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/9153.jpg;;8032732820863;1.53;Кухонные аксессуары;
