Название товара;Артикул;Идентификатор товара в магазине;Остаток;Цена продажи;Старая цена;Закупочная цена
"Бокал для коньяка ""Барокко"" 300 мл.";385-207;99076102;;5040;;4000
"Бокал для коньяка ""Гусар"" 300 мл.";385-229;99076275;;5670;7087;4500
"Бокал для коньяка ""Дубок"" 300 мл.";385-205;99076290;;5796;;4600
"Бокал для коньяка ""Листочки"" 300 мл.";385-206;99076376;;5040;;4000
"Бокал для коньяка ""Охота На Кабана"" 300 мл.";385-134;99076556;;5040;;4000
"Бокал для коньяка ""Охота На Лося"" 300 мл.";385-135;99076570;;5040;;4000
"Бокал для коньяка ""Охота На Медведя"" 300 мл.";385-136;99076589;;5040;6300;4000
"Бокал для коньяка ""Охотники На Привале"" 300 мл.";385-133;99076617;;5040;;4000
"Бокал для коньяка ""Пастушок"" 300 мл.";385-132;99076657;;5166;;4100
"Бокал для коньяка ""Паук"" 300 мл. в дизайнерской упаковке";385-164;99076678;3;4924;;4700
"Бокал для коньяка ""Рыбалка"" 300 мл.";385-137;99076715;;5040;;4000
"Бокал для коньяка ""Цветок"" 300 мл.";385-210;99076847;;4190;5237;4000
Бокал для коньяка №1;385-211;99075993;;4190;;4000
Ваза декоративная мак фантазия, h=70 см;135-5012;78211621;;3329;4161;2643
Ваза декоративная подсолнух абстрактный, h=50 см;135-5035;78211532;;2911;3638;2311
Ваза декоративная подсолнух классический, h=70 см;135-5011;78211622;;3329;;2643
Ваза декоративная роза на жгуте, h=37 см;135-5036;78211566;;3032;;2407
"Гобеленовая картина ""Нечаянная Радость"" 54х64см.";404-598-31;99076469;1;2153;2691;2055
Зеркало 100x50 см., в багетной раме 119x69 см;575-917-77;78211724;;4321;5401;3430
Зеркало 100x50 см., в багетной раме 120x70 см.;575-917-76;78211729;;4195;;3330
Зеркало 110x60 см., в раме 125x75 см.;575-921-22;78211686;;5225;6531;4148
Зеркало 110x60 см., в раме 125x75 см.;575-921-24;78211708;;3962;;3145
Зеркало 110x60 см., в раме 125x75 см.;575-921-01;78211709;;3922;;3114
Зеркало 110x60 см., в раме 125x75 см.;575-921-23;78211715;;3920;4900;3112
Зеркало 110x60 см., в раме 125x75 см.;575-921-21;78211717;;3920;;3112
Зеркало 110x60 см., в раме 127x77 см.;575-921-39;78211714;;6581;;5224
Зеркало 110x60 см., в раме 130x80 см.;575-921-77;78211702;;4248;;3372
Зеркало 150x60 см в раме 170x80 см;575-915-76;78211726;;6035;7543;4790
Зеркало 150x60 см., в раме 165x75 см.;575-915-37;78211701;;4943;;3924
Зеркало 150x60 см., в раме 165x75 см.;575-915-23;78211698;;4830;6037;3834
Зеркало 150x60 см., в раме 165x75 см.;575-915-01;78211697;;4797;;3808
Зеркало 150x60 см., в раме 168x78 см.;575-915-39;78211707;;6480;;5144
Зеркало 150x60 см., в раме 169x78 см.;575-915-77;78211703;;5632;;4470
Зеркало 57x81 см., в багетной раме 102x77 см.;575-916-76;78211728;;4187;5233;3324
Зеркало 60x110 см., в раме 75x125 см.;575-921-37;78211699;;4200;;3334
Зеркало 65,4х115,4 см., в багетной раме 130х80 см;575-925-24;78211694;;4318;;3428
Зеркало 65,4х115,4 см., в багетной раме 130х80 см;575-925-37;78211688;;4372;5465;3470
Зеркало 65,4х115,4 см., в багетной раме 130х80 см;575-925-01;78211727;;4328;5410;3435
Зеркало 65,4х115,4 см., в багетной раме 130х80 см;575-925-23;78211725;;4323;;3432
Зеркало 70х97 см в раме 85х101 см;575-933-37;78211716;;4054;;3218
Зеркало 75х100 см в раме 90х115 см;575-933-24;78211712;;4014;;3186
"Кашпо ""Бабочки"" d=32 см. h=22 см.";742-225;99076055;;5640;7050;4477
"Набор из 2-х бокалов для коньяка ""Барокко""";385-215;99076082;1;8697;;8300
"Набор из 2-х бокалов для коньяка ""Гусар"" 300 мл. в дизайнерской упаковке";385-230;99076253;;11088;;8800
"Набор из 2-х бокалов для коньяка ""Кабан-медведь"" 300 мл. в кожаном футляре";385-138;99076314;;13356;;10600
"Набор из 2-х бокалов для коньяка ""Охотники На Привале"" 300 мл. в кожаном футляре";385-160;99076631;;12222;15277;9700
"Набор из 2-х бокалов для коньяка ""Цветок""";385-218;99076861;1;8697;;8300
